time,cam,persons,in,out,standing,sitting,groups,queue,bags,peak
2026-06-18T12:21:25,Cam_104_Specialty,1,0,0,0,0,0,0,0,5
2026-06-18T12:21:55,Cam_104_Specialty,1,0,0,1,0,0,0,0,5
2026-06-18T12:22:28,Cam_104_Specialty,1,0,0,1,0,0,0,0,5
2026-06-18T12:22:59,Cam_104_Specialty,1,1,1,1,0,0,0,0,5
2026-06-18T12:23:30,Cam_104_Specialty,1,1,2,1,0,0,0,0,5
2026-06-18T12:24:00,Cam_104_Specialty,1,3,2,1,0,0,0,0,5
2026-06-18T12:24:30,Cam_104_Specialty,3,3,3,2,0,0,0,0,5
2026-06-18T12:25:02,Cam_104_Specialty,1,3,3,1,0,0,0,0,5
2026-06-18T12:25:33,Cam_104_Specialty,1,3,3,0,1,0,0,0,5
2026-06-18T12:26:10,Cam_104_Specialty,1,3,3,0,0,0,0,0,5
2026-06-18T12:26:40,Cam_104_Specialty,3,3,3,3,0,1,0,0,5
2026-06-18T12:27:10,Cam_104_Specialty,1,4,3,0,1,0,0,0,5
2026-06-18T12:27:41,Cam_104_Specialty,1,4,3,1,0,0,0,0,5
2026-06-18T12:28:12,Cam_104_Specialty,2,4,3,1,0,0,0,0,5
2026-06-18T12:28:43,Cam_104_Specialty,1,4,3,0,1,0,0,0,5
2026-06-18T12:29:14,Cam_104_Specialty,2,4,3,1,0,0,0,0,5
2026-06-18T12:29:45,Cam_104_Specialty,2,5,3,1,0,0,0,0,5
2026-06-18T12:30:16,Cam_104_Specialty,2,5,4,1,0,0,0,0,5
2026-06-18T12:30:46,Cam_104_Specialty,1,5,4,1,0,0,0,0,5
2026-06-18T12:31:16,Cam_104_Specialty,1,5,4,1,0,0,0,0,5
2026-06-18T12:31:47,Cam_104_Specialty,1,5,4,1,0,0,0,0,5
2026-06-18T12:32:18,Cam_104_Specialty,1,5,4,1,0,0,0,0,5
2026-06-18T12:32:50,Cam_104_Specialty,2,5,4,2,0,0,0,0,5
2026-06-18T12:33:20,Cam_104_Specialty,2,5,4,1,0,0,0,0,5
2026-06-18T12:33:51,Cam_104_Specialty,2,5,4,1,0,0,0,0,5
2026-06-18T12:37:59,Cam_104_Specialty,1,0,0,1,0,0,0,0,3
2026-06-18T12:47:35,Cam_104_Specialty,1,0,0,0,1,0,0,0,1
2026-06-18T12:49:54,Cam_104_Specialty,2,0,0,0,0,0,0,0,4
2026-06-18T12:50:24,Cam_104_Specialty,4,0,0,0,0,2,0,0,8
2026-06-18T12:50:57,Cam_104_Specialty,2,0,0,0,0,0,0,0,8
2026-06-18T12:56:35,Cam_104_Specialty,0,0,0,0,0,0,0,0,5
2026-06-18T12:59:12,Cam_104_Specialty,3,0,0,0,2,1,0,0,3
2026-06-18T12:59:44,Cam_104_Specialty,0,0,0,0,0,0,0,0,3
2026-06-18T13:17:38,Cam_104_Specialty,0,0,0,0,0,0,0,0,2
2026-06-18T13:18:09,Cam_104_Specialty,0,0,0,0,0,0,0,0,2
2026-06-18T13:18:40,Cam_104_Specialty,1,0,0,1,0,0,0,0,2
