time,cam,persons,in,out,standing,sitting,groups,queue,bags,peak
2026-06-18T12:21:25,Cam_231_Counter,1,1,1,1,0,0,0,0,3
2026-06-18T12:21:57,Cam_231_Counter,0,1,1,0,0,0,0,0,3
2026-06-18T12:22:30,Cam_231_Counter,0,1,1,0,0,0,0,0,3
2026-06-18T12:23:01,Cam_231_Counter,0,1,1,0,0,0,0,0,3
2026-06-18T12:23:31,Cam_231_Counter,0,1,1,0,0,0,0,0,3
2026-06-18T12:24:02,Cam_231_Counter,1,1,1,0,0,0,1,0,3
2026-06-18T12:24:33,Cam_231_Counter,1,1,1,1,0,0,0,0,3
2026-06-18T12:25:04,Cam_231_Counter,1,1,1,0,0,0,0,0,3
2026-06-18T12:25:34,Cam_231_Counter,1,1,1,1,0,0,0,0,3
2026-06-18T12:26:05,Cam_231_Counter,2,1,1,2,0,0,0,0,3
2026-06-18T12:26:36,Cam_231_Counter,3,2,1,0,0,0,0,0,3
2026-06-18T12:27:06,Cam_231_Counter,1,2,1,1,0,0,0,0,4
2026-06-18T12:27:37,Cam_231_Counter,1,2,1,1,0,0,0,0,4
2026-06-18T12:28:08,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:28:39,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:29:10,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:29:40,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:30:10,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:30:41,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:31:12,Cam_231_Counter,1,3,1,1,0,0,0,0,4
2026-06-18T12:31:42,Cam_231_Counter,1,3,1,0,1,0,0,0,4
2026-06-18T12:32:13,Cam_231_Counter,1,3,1,0,1,0,0,0,4
2026-06-18T12:32:45,Cam_231_Counter,1,3,1,0,1,0,0,0,4
2026-06-18T12:33:15,Cam_231_Counter,1,3,1,0,1,0,0,0,4
2026-06-18T12:33:46,Cam_231_Counter,2,3,1,0,0,0,1,0,4
2026-06-18T12:37:59,Cam_231_Counter,0,0,0,0,0,0,0,0,1
2026-06-18T12:47:35,Cam_231_Counter,0,0,0,0,0,0,0,0,1
2026-06-18T12:49:54,Cam_231_Counter,2,0,0,0,0,0,0,0,2
2026-06-18T12:50:24,Cam_231_Counter,1,0,0,0,0,0,0,0,5
2026-06-18T12:51:00,Cam_231_Counter,0,0,0,0,0,0,0,0,5
2026-06-18T12:56:34,Cam_231_Counter,0,0,0,0,0,0,0,0,1
2026-06-18T12:59:13,Cam_231_Counter,0,0,0,0,0,0,0,0,3
2026-06-18T12:59:43,Cam_231_Counter,0,0,0,0,0,0,0,0,4
